n,Bothe_k1,Bothe_k2,Bothe_cpk,Bothe_Power,Pearn_k1,Pearn_k2,Pearn_cpk,Pearn_Power,Tai_k1,Tai_k2,Tai_cpk,Tai_Power
2,2.1213203435596424,1.0,1.2439635552048902,0.501238764005473,0.0,4.749574601873456,0.41078843895237327,0.7638125369878919,2.1213203435596424,4.749574601873456,0.2619105203051684,0.8016229484162372
3,1.7320508075688774,1.0,1.3737200672018115,0.501350229227378,0.0,3.1169183375018905,0.6259613262614884,0.6679019819461127,1.7320508075688774,3.1169183375018905,0.4407302079985848,0.7635580198995775
4,1.5,1.0,1.4510703363914361,0.5013534715319621,0.0,2.6282672269215035,0.7423409295700615,0.6268441728446571,1.5,2.6282672269215035,0.5521015220705234,0.7556094642032289
5,1.3416407864998738,1.0,1.5038567408914794,0.5013539200443057,0.0,2.3823897397751734,0.8189551456746786,0.603971863398347,1.3416407864998738,2.3823897397751734,0.6312387582030968,0.7529465676269361
6,1.2247448713915892,1.0,1.5428220459275732,0.5013501503294051,0.0,2.231250930633817,0.8744289177000855,0.5893873589517855,1.2247448713915892,2.231250930633817,0.691460572518087,0.7517912606161602
7,1.1338934190276817,1.0,1.5731058633822088,0.5013510629226118,0.0,2.127018673775936,0.917279364044251,0.579207135597563,1.1338934190276817,2.127018673775936,0.7395825353002626,0.7511974159234666
8,1.0606601717798212,1.0,1.5975169457981635,0.5013489370305977,0.0,2.0499034425814346,0.9517864577730852,0.5716675536266976,1.0606601717798212,2.0499034425814346,0.7793132655001628,0.7508557126300143
9,1.0,1.0,1.6177370030581035,0.5013475662344891,0.0,1.9904283540770027,0.980226358007336,0.5658780017796863,1.0,1.9904283540770027,0.8127582184731673,0.7506436639413621
10,0.9486832980505138,1.0,1.634842570374599,0.5013486963874156,0.0,1.942324263372911,1.0045028902657778,0.561228629724534,0.9486832980505138,1.942324263372911,0.8416939443137267,0.750501939098598
11,0.9045340337332909,1.0,1.6495589918136737,0.5013507846928373,0.0,1.9028769281261388,1.0253266028679828,0.5574483801783241,0.9045340337332909,1.9028769281261388,0.8668763425693955,0.7504038379614388
12,0.8660254037844387,1.0,1.6623952017966241,0.501350423874628,0.0,1.8694308226158516,1.043670786202909,0.5542725980097852,0.8660254037844387,1.8694308226158516,0.8892520555911626,0.7503323769090329
13,0.8320502943378437,1.0,1.6737202382788219,0.5013496027238107,0.0,1.8408119168024624,1.0598966241920555,0.55158080349061,0.8320502943378437,1.8408119168024624,0.9092293585246431,0.7502790895234301
