n,k1 min,k2 min,cpk min,k1 max,k2 max,cpk max,cpk mean,cpk pct 025,cpk pct 975,power min,power max
2,1.249,2.63618,0.5821821738493208,2.0,1.76949,0.7258609371766839,0.6124853090742651,0.5822379203189137,0.6883642241329441,0.5000010018276464,0.5000001722029561
3,0.924,2.31031,0.7111904187712629,1.73,1.00678,1.365147966511821,0.754461687510062,0.7112462782770012,0.9656015958446297,0.5000015582826438,0.49999996537333724
4,0.761,2.12206,0.7998848617497953,1.498,1.02204,1.4204307102051814,0.8428647946191409,0.7999381879269344,1.057551768422582,0.5000012224269023,0.5000000523141246
5,0.662,1.99515,0.8673050496076838,1.34,1.01051,1.4887568353848741,0.9098527922986198,0.8673552288389659,1.124362772443378,0.5000023932719762,0.4999999572988659
6,0.596,1.90181,0.9214399281341304,1.223,1.02772,1.5017744811084432,0.9632194347468772,0.9214898734578714,1.1746434001800914,0.5000026158592721,0.5000000114557066
7,0.544,1.83114,0.9664673389572093,1.1320000000000001,1.04221,1.5099999069842955,1.0074144455779395,0.9665139479165018,1.2148939331350994,0.5000007352756749,0.49999996456372164
8,0.508,1.77312,1.0048597968880295,1.059,1.03499,1.5440442288248557,1.0451663212448694,1.004908400213178,1.2495817230701927,0.5000028375977861,0.49999994824932226
9,0.48,1.72514,1.0382173831639387,0.998,1.05419,1.5352106069349654,1.0776134384264062,1.0382634061120912,1.2771728877201913,0.5000029939983882,0.49999993297641077
10,0.454,1.68575,1.0676179760095528,0.9470000000000001,1.0433,1.5675296364658018,1.1064684764403379,1.0676622724070663,1.3033294919134015,0.5000037857238724,0.49999992675758864
11,0.43,1.65265,1.0938414080767875,0.903,1.03868,1.5886224211416775,1.1320982404743514,1.09388532061094,1.3258717640266218,0.5000017667318546,0.500000039092219
12,0.41200000000000003,1.6231,1.1174524077740762,0.865,1.00574,1.6532473631933737,1.1553856158853153,1.117499010812401,1.3474546109301768,0.5000050860840328,0.5000000264562353
13,0.397,1.59694,1.1388887516488435,0.8310000000000001,1.01251,1.653386471631329,1.1761968238171103,1.1389361987543696,1.3649369982259205,0.5000039181581374,0.5000000483262568
14,0.383,1.57396,1.158481581313864,0.8,1.05415,1.5978785464352991,1.194777269191713,1.1585237021386008,1.3778111853013268,0.5000049441411211,0.5000001291405238
15,0.37,1.55354,1.1764981931962504,0.773,1.04814,1.6156273682187217,1.2123476551085965,1.1765443280037118,1.3930747815363314,0.50000428603997,0.49999991938905697
16,0.358,1.53521,1.1931507761531674,0.749,1.01692,1.6730949039499372,1.2288491954005178,1.1931946388770112,1.40889871440743,0.5000036460903331,0.500000013463175
17,0.35000000000000003,1.51778,1.2086097258659163,0.726,1.05026,1.6272830883699632,1.2434349812103482,1.2086558235199456,1.41853925787047,0.500004415343182,0.4999998379355678
18,0.34,1.50262,1.2230217906444105,0.706,1.02822,1.6686477631811318,1.257680699938909,1.2230631827003935,1.432067058190107,0.5000048763741228,0.4999998724938727
19,0.331,1.48866,1.2365059873027437,0.687,1.03695,1.6607072051607477,1.2706226746380025,1.2365457826824207,1.4420029966447827,0.5000053331517988,0.4999999882330275
20,0.323,1.47571,1.2491639073563037,0.67,1.00867,1.7128862790190091,1.2831500647255236,1.2492088823981637,1.4538046419995865,0.5000035642672808,0.5000000264301493
21,0.316,1.46362,1.2610766476668147,0.653,1.05379,1.6449232482038836,1.2941040362105773,1.2611216714321425,1.4592916109807013,0.5000072746528166,0.500000209247172
22,0.311,1.45199,1.272325339516643,0.638,1.05244,1.6517841109467233,1.3049840722446238,1.2723654248402598,1.4681631592350755,0.5000049589047035,0.4999997272657307
23,0.301,1.44254,1.2829710115893525,0.624,1.05083,1.658755780089488,1.3152798612851408,1.2830119895600298,1.476613348236169,0.5000020192206022,0.5000002567167112
24,0.297,1.43232,1.2930562558586332,0.611,1.04524,1.671772673955044,1.3251098523207605,1.293100488904847,1.4851047592269329,0.5000075739399297,0.4999997502070703
25,0.291,1.42331,1.3026468839475844,0.599,1.02915,1.7017963073650775,1.3345937330292077,1.3026898732297334,1.4941354707642216,0.5000064619166951,0.4999999087903939
26,0.28700000000000003,1.41442,1.3117770320871946,0.587,1.04502,1.679779975239489,1.3431547630887732,1.3118162761664278,1.4994586447616527,0.500005200182537,0.49999978342013085
27,0.28,1.40686,1.3204846275095632,0.5760000000000001,1.04536,1.6827411957521206,1.3515350907922352,1.320522848655354,1.5060407092578447,0.5000090667277052,0.5000000074185853
28,0.279,1.3983,1.3288066483525967,0.5660000000000001,1.02818,1.7141003226329734,1.3598101654850503,1.3288434300842586,1.5142349669918491,0.5000032214900121,0.5000000274733936
29,0.27,1.39222,1.3367645461144333,0.556,1.03562,1.7050047344181292,1.3673669357648734,1.336808171391015,1.5195545373823494,0.5000087186997724,0.5000001756052455
30,0.267,1.38507,1.3443871691621632,0.547,1.01378,1.7446951045178472,1.3749738280806114,1.3444298800099617,1.5270817618051555,0.5000068111478422,0.5000000296114793
