0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3
2.6533,2.6516,2.6462,2.6372,2.6245,2.6081,2.5876,2.563,2.5339,2.5002,2.4613,2.4167,2.3659,2.308,2.242,2.1663,2.079,1.977,1.8555,1.7054,1.5042,1.1282,,,,,,,,,
2.3118,2.3097,2.3035,2.293,2.2782,2.2589,2.2348,2.2056,2.1708,2.13,2.0824,2.0268,1.9617,1.885,1.7926,1.6773,1.5213,1.2402,,,,,,,,,,,,,
2.1218,2.1196,2.1127,2.1012,2.0849,2.0635,2.0366,2.0038,1.9643,1.9171,1.8608,1.7928,1.7091,1.6009,1.4441,,,,,,,,,,,,,,,,
1.9956,1.9931,1.9859,1.9736,1.9561,1.933,1.9038,1.8677,1.8236,1.7696,1.7028,1.6172,1.499,1.2891,,,,,,,,,,,,,,,,,
1.9038,1.9012,1.8936,1.8807,1.8622,1.8377,1.8063,1.767,1.7179,1.6558,1.5744,1.4579,1.2215,,,,,,,,,,,,,,,,,,
1.8332,1.8306,1.8227,1.8092,1.7899,1.764,1.7305,1.6878,1.6329,1.5602,1.4561,1.2567,,,,,,,,,,,,,,,,,,,
1.7767,1.774,1.7659,1.752,1.7319,1.7047,1.669,1.6225,1.5606,1.4735,1.3253,,,,,,,,,,,,,,,,,,,,
1.7303,1.7275,1.7192,1.7049,1.6841,1.6556,1.6175,1.5667,1.4962,1.387,,,,,,,,,,,,,,,,,,,,,
1.6912,1.6884,1.6799,1.6653,1.6437,1.6138,1.5733,1.5175,1.4359,1.2867,,,,,,,,,,,,,,,,,,,,,
1.6577,1.6549,1.6462,1.6313,1.609,1.5777,1.5344,1.4728,1.376,1.0806,,,,,,,,,,,,,,,,,,,,,
1.6286,1.6258,1.617,1.6017,1.5787,1.5459,1.4996,1.4312,1.3118,,,,,,,,,,,,,,,,,,,,,,
1.603,1.6002,1.5912,1.5756,1.5519,1.5175,1.4679,1.3911,1.2317,,,,,,,,,,,,,,,,,,,,,,
1.5803,1.5774,1.5684,1.5524,1.5279,1.492,1.4386,1.3513,1.0317,,,,,,,,,,,,,,,,,,,,,,
1.56,1.557,1.5479,1.5316,1.5063,1.4686,1.411,1.3101,,,,,,,,,,,,,,,,,,,,,,,
1.5416,1.5387,1.5294,1.5128,1.4867,1.4471,1.3848,1.2646,,,,,,,,,,,,,,,,,,,,,,,
1.525,1.522,1.5126,1.4956,1.4687,1.4271,1.3594,1.2084,,,,,,,,,,,,,,,,,,,,,,,
1.5097,1.5067,1.4972,1.4799,1.4522,1.4084,1.3345,1.1114,,,,,,,,,,,,,,,,,,,,,,,
1.4957,1.4927,1.4831,1.4655,1.4368,1.3908,1.3094,,,,,,,,,,,,,,,,,,,,,,,,
1.4828,1.4798,1.4701,1.4521,1.4225,1.374,1.2837,,,,,,,,,,,,,,,,,,,,,,,,
1.4709,1.4678,1.458,1.4397,1.4091,1.358,1.2566,,,,,,,,,,,,,,,,,,,,,,,,
1.4598,1.4567,1.4468,1.4281,1.3965,1.3425,1.2265,,,,,,,,,,,,,,,,,,,,,,,,
1.4494,1.4463,1.4363,1.4173,1.3846,1.3275,1.1907,,,,,,,,,,,,,,,,,,,,,,,,
1.4397,1.4366,1.4265,1.4071,1.3733,1.3128,1.1412,,,,,,,,,,,,,,,,,,,,,,,,
1.4306,1.4275,1.4173,1.3975,1.3626,1.2983,,,,,,,,,,,,,,,,,,,,,,,,,
1.422,1.4189,1.4086,1.3884,1.3524,1.2839,,,,,,,,,,,,,,,,,,,,,,,,,
1.414,1.4108,1.4004,1.3798,1.3425,1.2694,,,,,,,,,,,,,,,,,,,,,,,,,
1.4063,1.4032,1.3927,1.3717,1.3331,1.2547,,,,,,,,,,,,,,,,,,,,,,,,,
1.3991,1.3959,1.3853,1.3639,1.324,1.2397,,,,,,,,,,,,,,,,,,,,,,,,,
1.3923,1.3891,1.3783,1.3565,1.3152,1.2239,,,,,,,,,,,,,,,,,,,,,,,,,
