n,Bothe_k1,Bothe_k2,Bothe_cpk,Bothe_Power,Pearn_k1,Pearn_k2,Pearn_cpk,Pearn_Power,Tai_k1,Tai_k2,Tai_cpk,Tai_Power
2,2.1213203435596424,1.0,1.2439635552048902,0.5013500009839238,0.0,4.7487878411719375,0.4108564967833852,0.7637783399619381,2.1213203435596424,4.7487878411719375,0.26195391262160417,0.8016041533501499
3,1.7320508075688774,1.0,1.3737200672018115,0.5013500009839238,0.0,3.0868959640314273,0.6320492686262663,0.6655625759361286,1.7320508075688774,3.0868959640314273,0.4450166391120481,0.762982906583259
4,1.5,1.0,1.4510703363914361,0.5013500009839238,0.0,2.5700466163085234,0.7591575670303791,0.6215458300377232,1.5,2.5700466163085234,0.5646085667020606,0.7548912384575299
5,1.3416407864998738,1.0,1.5038567408914794,0.5013500009839238,0.0,2.3027074083980956,0.8472940718719972,0.5963190941629368,1.3416407864998738,2.3027074083980956,0.6530819918357122,0.7522926468282709
6,1.2247448713915892,1.0,1.5428220459275732,0.5013500009839238,0.0,2.134206337902214,0.9141901144896851,0.5799103613095062,1.2247448713915892,2.134206337902214,0.7229020074244868,0.7512333539742271
7,1.1338934190276817,1.0,1.5731058633822088,0.5013500009839238,0.0,2.0161007085482545,0.9677444822666401,0.5683726903740209,1.1338934190276817,2.0161007085482545,0.7802714699281884,0.7507299876276123
8,1.0606601717798212,1.0,1.5975169457981635,0.5013500009839238,0.0,1.9276302370662863,1.0121600599920162,0.5598165940373918,1.0606601717798212,1.9276302370662863,0.8287465692743379,0.7504635705791921
9,1.0,1.0,1.6177370030581035,0.5013500009839238,0.0,1.8582719353906612,1.049938009197382,0.5532200083111878,1.0,1.8582719353906612,0.8705598853689891,0.7503107702272807
10,0.9486832980505138,1.0,1.634842570374599,0.5013500009839238,0.0,1.802064337258263,1.082686281534142,0.5479805797675434,0.9486832980505138,1.802064337258263,0.9072054402130381,0.7502174935499851
11,0.9045340337332909,1.0,1.6495589918136737,0.5013500009839238,0.0,1.7553507714875944,1.111498834354331,0.5437199068802524,0.9045340337332909,1.7553507714875944,0.9397318294483864,0.7501576381097245
12,0.8660254037844387,1.0,1.6623952017966241,0.5013500009839238,0.0,1.7157501598972131,1.1371529386937786,0.5401881960036661,0.8660254037844387,1.7157501598972131,0.9689028394997874,0.7501176248836858
13,0.8320502943378437,1.0,1.6737202382788219,0.5013500009839238,0.0,1.6816380261312245,1.1602201580087173,0.5372138733400548,0.8320502943378437,1.6816380261312245,0.9952916217822343,0.7500899463648724
14,0.8017837257372732,1.0,1.683809094479012,0.5013500009839238,0.0,1.6518638130434842,1.1811326823587704,0.5346751897622739,0.8017837257372732,1.6518638130434842,1.0193389316863055,0.7500702372697026
15,0.7745966692414834,1.0,1.6928714466442765,0.5013500009839238,0.0,1.62558720078068,1.200224962065674,0.5324833659990904,0.7745966692414834,1.62558720078068,1.0413907330417487,0.7500558492561044
16,0.75,1.0,1.7010703363914363,0.5013500009839238,0.0,1.602178492176334,1.2177609086121124,0.5305721485123132,0.75,1.602178492176334,1.0617233627201996,0.7500451162126118
17,0.7276068751089989,1.0,1.7085347113551046,0.5013500009839238,0.0,1.5811554292069605,1.2339522733511465,0.5288910991221427,0.7276068751089989,1.5811554292069605,1.080560885916214,0.7500369565107213
18,0.7071067811865476,1.0,1.7153680759959218,0.5013500009839238,0.0,1.5621416928388001,1.2489714251502093,0.5274011480161221,0.7071067811865476,1.5621416928388001,1.0980873782829976,0.7500306484120631
19,0.6882472016116852,1.0,1.7216546025208759,0.5013500009839236,0.0,1.5448388178209838,1.2629604550871192,0.526071566681854,0.6882472016116852,1.5448388178209838,1.114455814198981,0.7500256985145152
20,0.6708203932499369,1.0,1.7274635386414572,0.5013500009839238,0.0,1.5290066875580521,1.2760378043260587,0.5248778585269711,0.6708203932499369,1.5290066875580521,1.1297946259478806,0.7500217621734332
