n,k1 min,k2 min,cpk min,k1 max,k2 max,cpk max,cpk mean,cpk pct 025,cpk pct 975,power min,power max
2,1.752,2.24171,0.2649197051010519,0.0,2.97414,0.3960382336144497,0.3120383046716146,0.2650199647921403,0.3904908297901989,0.5584272860439774,0.574720889136078
3,1.33,2.04002,0.3600650085728305,1.731,1.00421,0.5983540814392196,0.3986271645385722,0.3601443313883264,0.46692695796197997,0.5522255622917647,0.5022195861315697
4,1.102,1.9139,0.4235016556710098,1.499,1.00385,0.6756054046475194,0.45819697717567015,0.4235686493511701,0.5203975745867038,0.5471907064176329,0.5015533183732384
5,0.9590000000000001,1.8236,0.47061114578603447,1.34,1.03924,0.7035973263687044,0.5029939554472616,0.47067227159148,0.5611969235949468,0.5432806845714956,0.5018263174545321
6,0.861,1.75438,0.5077994232276242,1.223,1.04487,0.7371313995572772,0.5386804557678717,0.5078572519814779,0.5953574939829838,0.5401358953150709,0.5016794380994876
7,0.784,1.70251,0.5383462175192779,1.133,1.00689,0.7947307903101754,0.5682959493489474,0.5384024759969133,0.6291572024097909,0.53774326022413,0.5009146700386538
8,0.728,1.65773,0.5641488574468776,1.059,1.04389,0.7901916409986484,0.593064527484747,0.5642037073081562,0.654664658431764,0.5355916955772024,0.5013518444138358
9,0.68,1.62211,0.5864007283448178,0.999,1.01602,0.8315516939844483,0.6147325985746077,0.586451092509795,0.6785212036719351,0.5338788783720919,0.5008359813204173
10,0.643,1.59025,0.6059046180089583,0.9470000000000001,1.04588,0.8243837586103686,0.6334498810822654,0.6059531741369433,0.6968028760837747,0.5322932877194089,0.5012014958542843
11,0.606,1.56587,0.6232146679622694,0.903,1.04119,0.8421836092567918,0.6502372436497565,0.6232661143750963,0.7141803940838974,0.5311328798851653,0.5010579169527228
12,0.579,1.54189,0.6387441076354858,0.865,1.02012,0.8719952738783142,0.6653931939190053,0.6387922764431511,0.7303603741149957,0.529915452579298,0.5007077688343413
13,0.555,1.52095,0.6527980223689663,0.8310000000000001,1.0222,0.881308112034904,0.6789859450972906,0.6528470558935558,0.7438732804984031,0.5288483313391132,0.5006913796644752
14,0.534,1.50219,0.6656103103615916,0.801,1.00762,0.9039847880372354,0.6914578412510808,0.6656565395800268,0.7566913062058321,0.5278838508195951,0.5004920290487842
15,0.513,1.48646,0.6773630989882534,0.773,1.04522,0.8803950225363198,0.702600266056018,0.6774102696286366,0.766049636210435,0.5270993519115093,0.5009473500780026
16,0.495,1.47176,0.6882053813951181,0.749,1.02192,0.9082966234689727,0.7132397784668852,0.68825331935108,0.7775380156351562,0.5263521105014388,0.5005925472703006
17,0.47800000000000004,1.45869,0.6982565307150566,0.726,1.04625,0.8945024154093947,0.7227830565347783,0.6983038464336976,0.785518174668601,0.5256956343232719,0.5009082688286375
18,0.467,1.44458,0.7076150060608706,0.706,1.02828,0.9166178655509645,0.7319530533777096,0.7076585013728335,0.7953055770802082,0.5249102914738829,0.5006246868825652
19,0.451,1.4344,0.7163551441639334,0.687,1.03461,0.9171312399088342,0.7403502997006534,0.7164016685434635,0.8029968885447756,0.5244246282813166,0.5006896543937622
20,0.441,1.42277,0.7245536187311226,0.67,1.0148,0.9406186625825245,0.7483899987412063,0.7245982491786124,0.8115076149114194,0.5237823803934529,0.5004315484756099
21,0.428,1.41371,0.7322622641527701,0.654,1.00377,0.956268021680344,0.7558849018756725,0.7323069073191079,0.8189278051987336,0.5233355793035694,0.5003113111999651
22,0.42,1.40341,0.7395366657798357,0.638,1.04736,0.9215613403752412,0.762598944210246,0.7395769863467538,0.8231679259509777,0.5227510880244515,0.5008341689629205
23,0.40800000000000003,1.39585,0.7464076742644834,0.624,1.04583,0.9273717067994598,0.7692365772468224,0.7464531145249841,0.8294815882103694,0.5223943388350416,0.5007955462139841
24,0.4,1.38731,0.7529245942065911,0.611,1.04077,0.9360439726888864,0.7755574606432489,0.7529659599832169,0.8357120299077694,0.521920107102064,0.500704148869965
25,0.389,1.38083,0.7591133488231081,0.599,1.02698,0.9525078243543325,0.7816266446694351,0.7591566831957196,0.8421347459862425,0.5216224798417335,0.5005041489308119
26,0.383,1.37282,0.764999406663228,0.587,1.04046,0.9440117692707193,0.7871833956489966,0.7650438147257306,0.8464852591996778,0.5211601021108923,0.500678441057459
27,0.376,1.36585,0.770611574322763,0.5760000000000001,1.04072,0.9472991314878919,0.7925801982413108,0.7706541499816348,0.8514337990318301,0.5207816203499358,0.5006726541484834
28,0.367,1.36028,0.7759724606615888,0.5660000000000001,1.02577,0.9643550556707764,0.7978592752216965,0.7760150012623932,0.857176900846621,0.5205191075263662,0.5004613691389206
29,0.362,1.35349,0.7810966357013444,0.556,1.03197,0.9617913493500253,0.8027389551232722,0.7811351202663382,0.8613020437973085,0.5201247478463749,0.5005317184307023
30,0.356,1.34758,0.7860063858586596,0.547,1.01465,0.9811657406876715,0.8075824474193243,0.7860475377378615,0.8665726510778942,0.5198004368073471,0.500324080622464
